"User Target","Week Duration","Prior Knowledge","Description","Important Technology Keywords"
"Data Scientist","18","Basic R","I did some basic statistics analysis in R during my undergraduate research and I found it surprisingly enjoyable, and now I want to build a proper data science career. I know I need to transition to Python because that's where most of the industry is, even though R is great for statistics. The core Python data stack of numpy, pandas, matplotlib, and seaborn seems like my starting point. Then I want to get deep into machine learning with scikit-learn and understand when to use which algorithm. Statistical modeling is something I want to be genuinely good at, understanding things like regression deeply, not just calling fit. I'm particularly interested in time series analysis because financial and business data is often temporal. Jupyter notebooks and being able to communicate analysis clearly through them is also important.","Python, NumPy, Pandas, Matplotlib, Scikit-learn, Statistical Modeling, Time Series, Jupyter"
"AI Engineer","22","Basic Python","I took a Python course and I can write simple scripts, but my real passion is AI and I want to build things that actually seem magical like chatbots that understand context or image generation tools. I know I have a lot to learn and I'm prepared for that. I want to start by getting much better at Python and then learning numpy and linear algebra because I've been told the math matters for really understanding deep learning. Then I want to work through the deep learning fundamentals using PyTorch because it seems more pythonic than TensorFlow. Understanding natural language processing is a big goal since language models are dominating the field right now. Eventually I want to build and deploy a complete AI application to the cloud and have it be something I can show employers.","Python, NumPy, Linear Algebra, PyTorch, Deep Learning, NLP, Cloud Deployment"
"DevOps Engineer","12","Excel and SQL","I'm a developer who is tired of the 'works on my machine' problem and I want to deeply understand the deployment and operations side of software. I know Linux at a surface level from using it as my development OS, but I want to get much more comfortable with shell scripting and system administration tasks. Docker seems like the most fundamental thing to learn first because containers solve so many environment consistency problems. Then Kubernetes for orchestrating those containers at scale. I want to set up proper CI/CD pipelines using Jenkins or GitHub Actions so deployments become automated and reliable. Monitoring with Prometheus and Grafana is something that seems really important for actually knowing if your system is healthy. Terraform for infrastructure as code is on my list too.","Linux, Shell Scripting, Docker, Kubernetes, CI/CD, GitHub Actions, Prometheus, Grafana, Terraform"
"Backend Developer","22","Basic Python","I've been building web scrapers and automation scripts in Python for a while now and I'm comfortable with the language, but I've never built an actual web application backend and I want to make that transition into professional backend development. FastAPI seems like the best choice for me because it's Python, it's fast, and it generates API documentation automatically which is really elegant. I need to understand database design properly, not just how to write queries but how to design schemas that don't cause problems later. PostgreSQL for relational data and learning about database normalization and indexes. Authentication and authorization are things I need to understand deeply because most APIs need them. Eventually I want to understand how to scale backend services and handle high traffic, which means learning about caching with Redis and maybe message queues.","Python, FastAPI, PostgreSQL, Database Design, Schema Design, Authentication, Redis, API Development"
"Cloud Architect","14","College CS","I've spent several years in on-premise IT and I can see the writing on the wall that everything is moving to cloud, so I need to make this transition now before I become obsolete. I have solid networking fundamentals which I'm told is actually a huge advantage for cloud because so much of cloud architecture is just networking abstracted. I want to start with AWS because it's the biggest and most jobs are there, learning core services like EC2, S3, VPC, and IAM first. Then I want to understand Infrastructure as Code using Terraform because nobody manually clicks through consoles in production. Kubernetes is something I want to understand for container orchestration even though it's complex. My goal certification is the AWS Solutions Architect Associate and then the Professional level.","AWS, EC2, S3, VPC, IAM, Terraform, Kubernetes, AWS Solutions Architect"
"Cybersecurity Professional","24","Some JavaScript","I read about the Colonial Pipeline ransomware attack and the SolarWinds breach and it genuinely scared me how vulnerable critical infrastructure is, and then I thought, someone has to defend against this stuff, why not me. I'm starting from absolute zero but I'm motivated by something real, not just money, though the salaries are great too. I want to understand how the internet works at a protocol level, TCP/IP, HTTP, DNS, because security is about understanding what normal looks like so you can spot abnormal. Linux is something I'll need to get comfortable with. I want to understand the SOC analyst role first as an entry point, working with SIEM tools to analyze logs and detect threats. CompTIA Security+ seems like the right first certification and then maybe the CySA+.","TCP/IP, HTTP, DNS, Linux, SIEM, SOC, Log Analysis, CompTIA Security+, CySA+"
"Data Scientist","18","Basic Statistics","I have a background in statistics from my university program and I can do hypothesis testing and regression analysis, but everything was done with SPSS and I realize that's basically useless in industry. I need to learn Python for data science, and I want to leverage my stats background to go deeper into machine learning than most beginners can. Bayesian statistics is an area I want to explore because I think the frequentist vs Bayesian distinction is really important and I'm mostly frequentist trained. I want to understand how to apply ML algorithms properly including cross-validation, regularization, and hyperparameter tuning. Natural language processing is interesting to me as an application area. Building models and then creating clear visualizations and narratives to explain them to non-technical stakeholders is a skill I want to develop.","Python, Bayesian Statistics, Machine Learning, Cross-validation, Regularization, NLP, Data Visualization, Storytelling"
"Machine Learning Engineer","24","Basic Python","I've always been interested in how recommendation systems work, like how Netflix knows what I want to watch, or how Spotify creates those eerily perfect playlists, and I've decided I want to build those kinds of systems professionally. My Python is basic but I'm ready to go deep. I need to learn the math first I think, linear algebra and statistics and probability, because everyone says you can't really understand ML without it. Then scikit-learn for classical machine learning algorithms like regression, classification, and clustering. After that PyTorch for deep learning, specifically building neural networks. Feature engineering and understanding how to prepare data properly seems like a huge part of the actual job. MLflow for tracking experiments and eventually learning how to deploy models to production with something like FastAPI or Seldon.","Python, Linear Algebra, Statistics, Scikit-learn, PyTorch, Neural Networks, Feature Engineering, MLflow, Model Deployment"
"QA Engineer","8","Basic Java","I've been doing manual QA testing at my company for a year and I'm pretty good at finding bugs, but I want to move into automation testing because it's so much more scalable and that's where the good jobs are. Python is my language choice for automation and I want to learn Selenium or Playwright for browser automation testing. Understanding the different types of testing, unit, integration, end-to-end, and when to use each is something I need to build up. API testing with tools like Postman and then automating that with Python's requests library is very practical. I want to learn a testing framework like pytest properly because just writing scripts isn't enough, you need structure and reporting. Performance testing with JMeter or Locust is also interesting to me for finding bottlenecks under load.","Python, Selenium, Playwright, API Testing, Postman, Pytest, JMeter, Locust, Test Automation"
"Cybersecurity Professional","23","Intermediate Python","I'm coming from a software development background and I want to pivot hard into offensive security because I think understanding how attackers think is crucial, especially since I already write code and can see how vulnerable most applications actually are. I want to get deep into web application security, specifically learning how to exploit things like SQL injection, XSS, and CSRF vulnerabilities, and then use tools like Burp Suite to test applications professionally. I also want to understand how to write my own exploits and work with Metasploit for more structured penetration testing engagements. My goal is to eventually land a red team role at a major company, so I'm planning to pursue the OSCP and then CRTO certifications.","Web Application Security, SQL Injection, XSS, Burp Suite, Metasploit, OSCP, CRTO"
"DevOps Engineer","23","Basic Python","I've heard the term DevOps a thousand times and every company seems to be hiring for it, so I want to understand what it actually means and get those skills. From what I understand it's about making software development and deployment faster and more reliable, which sounds really valuable. I know some Python so I can write basic scripts, but I need to learn the specific toolchain. Git and version control workflows first because apparently lots of DevOps work involves managing code pipelines. Then Docker for containerization, which I keep hearing is essential. Ansible for configuration management and automating server setup sounds useful. Jenkins or GitLab CI for automating the build and test and deploy process. And eventually cloud platforms, probably AWS or Azure. I'm prepared for this to be a challenging but rewarding twelve months.","Git, Docker, Ansible, Jenkins, GitLab CI, AWS, Azure, Configuration Management, CI/CD"
"AI Engineer","17","Basic Networking","I've been writing Python for a few years now doing backend web development, but the AI revolution has me completely hooked and I want to pivot my career toward building AI-powered applications. My Python is solid so I don't need to start from scratch, but I need to deeply learn the ML and AI ecosystem. I want to understand how to use the major LLM APIs like OpenAI and Anthropic and build production applications around them, including implementing RAG pipelines with vector databases like Pinecone or Weaviate. LangChain seems to be the framework everyone uses for chaining these things together. I also want to understand fine-tuning models and have a solid grasp of prompt engineering best practices. Understanding how transformers actually work at a conceptual level would help me make better architectural decisions.","LLM APIs, OpenAI, Anthropic API, RAG, Vector Databases, LangChain, Fine-tuning, Prompt Engineering, Transformers"
"Full-Stack Developer","23","Basic Python","I know Python reasonably well but I've only ever used it for scripting and data work, never for web development, and I want to build complete web applications. Django is my entry point for backend work since I already know Python and Django is very full-featured. But I also know I need to learn the frontend properly, which means diving into JavaScript and then React because that's just the standard these days. The thing that confuses me is how the frontend and backend connect, so understanding REST APIs and later maybe GraphQL is important. I also want to learn about authentication and user management since that's something every real app needs. Deployment is mysterious to me right now, but I want to understand how to get a Django and React application running on a cloud server.","Python, Django, JavaScript, React, REST API, GraphQL, Authentication, Cloud Deployment"
"Cybersecurity Professional","13","Basic Java","Okay so I've been watching a lot of hacking documentaries lately and I'm honestly obsessed, like I want to do that for a living. I know absolutely nothing about computers beyond using them for social media and stuff, but I'm told I can start from scratch. Someone recommended I learn about how the internet actually works first, like TCP/IP and all that, and then move into understanding firewalls and VPNs. I also want to eventually do something called a CTF competition to practice real hacking challenges. I've heard Kali Linux is the tool everyone uses and Wireshark for looking at network packets. My big dream certification is the OSCP because people say it's the hardest and most respected.","TCP/IP, Firewalls, VPN, CTF, Kali Linux, Wireshark, OSCP"
"Mobile App Developer","19","None","I have an idea for an app that I genuinely believe would be useful and maybe even make money, and I've decided instead of paying someone to build it I'm going to learn to do it myself even though I know absolutely nothing about programming right now. I've done some research and Flutter seems like a great choice for beginners who want to build both iPhone and Android apps because you only learn one thing. Dart is the language Flutter uses and people say it's actually quite clean and beginner friendly. I know I'll need to learn how to connect my app to a backend and store data, and Firebase seems to be the easiest option for that, handling authentication and the database. I'm going in with eyes open that this is a long journey but I'm committed.","Flutter, Dart, Firebase, iOS, Android, Authentication, Database, Mobile UI"
"DevOps Engineer","22","Basic Statistics","I'm a sysadmin who wants to evolve into a proper DevOps engineer because I see the field shifting toward automation and cloud and I don't want to be left behind doing manual server maintenance forever. My Linux skills are solid which gives me a good base. The biggest gap is that I don't program well enough for real DevOps work, so I need to learn Python scripting more seriously and also bash scripting beyond the basics I know. Docker and Kubernetes are the containerization tools I need to master. CI/CD pipelines with Jenkins or GitLab CI for automating software delivery. Ansible for configuration management and automating the server setup work I currently do manually. Getting the AWS DevOps Engineer Professional certification or at least the associate level would validate the transition.","Linux, Python, Bash, Docker, Kubernetes, Jenkins, GitLab CI, Ansible, AWS DevOps"
"Game Developer","19","Some JavaScript","I've been building small interactive web things in JavaScript for a couple years and I'm genuinely good at the DOM manipulation and animation side, so I want to channel that into actual game development. Phaser.js is a JavaScript game framework that seems perfect for me because I can use my existing skills. I want to build 2D browser games initially because that plays to my strengths. Understanding game architecture patterns like entity component systems is something I want to learn because spaghetti code is even worse in games than in web apps. Physics engines within Phaser and handling sprite animations. Tiled for creating tile maps for my game levels. I also want to understand how to monetize browser games and maybe publish to itch.io as a starting point.","JavaScript, Phaser.js, 2D Game Development, Entity Component System, Physics Engine, Sprite Animation, Tiled, itch.io"
"Data Analyst","15","Excel","I manage a small e-commerce store and I'm drowning in spreadsheet chaos, like I have thirty different Excel files that need to be manually stitched together every month to understand how the business is doing. I want to learn data analysis properly so I can build a system that just works and gives me answers without all the manual pain. SQL seems like it would let me query my sales database directly instead of exporting everything. Python with pandas could help me automate the report building. And I've been eyeing Google Looker Studio to create a dashboard my small team can check anytime. I also want to understand cohort analysis and customer lifetime value calculations because those seem like the metrics that actually matter for e-commerce.","SQL, Python, Pandas, Google Looker Studio, Dashboard Design, Cohort Analysis, E-commerce Analytics"
"Business Intelligence Analyst","12","Excel and SQL","I have several years of experience using Excel and basic SQL in finance roles, and I keep being asked to build dashboards and reports, so I figure I should actually specialize in BI properly and make it my career instead of a side skill. Power BI seems like the natural choice since my company uses Microsoft products everywhere. I need to learn DAX which is the formula language for Power BI calculations because apparently it's quite different from regular SQL or Excel formulas. Data modeling for BI, specifically star schema and understanding how to structure data for reporting, is something I want to get right. I want to understand ETL pipelines better because the data I work with is often messy and needs cleaning before it can be reported on. Connecting Power BI to various data sources including Azure data warehouse would round out my skills nicely.","Power BI, DAX, Data Modeling, Star Schema, ETL, Azure, SQL, Data Warehousing"
"DevOps Engineer","20","Basic Linux","I'm a developer who is tired of the 'works on my machine' problem and I want to deeply understand the deployment and operations side of software. I know Linux at a surface level from using it as my development OS, but I want to get much more comfortable with shell scripting and system administration tasks. Docker seems like the most fundamental thing to learn first because containers solve so many environment consistency problems. Then Kubernetes for orchestrating those containers at scale. I want to set up proper CI/CD pipelines using Jenkins or GitHub Actions so deployments become automated and reliable. Monitoring with Prometheus and Grafana is something that seems really important for actually knowing if your system is healthy. Terraform for infrastructure as code is on my list too.","Linux, Shell Scripting, Docker, Kubernetes, CI/CD, GitHub Actions, Prometheus, Grafana, Terraform"
"Cybersecurity Professional","22","None","I read about the Colonial Pipeline ransomware attack and the SolarWinds breach and it genuinely scared me how vulnerable critical infrastructure is, and then I thought, someone has to defend against this stuff, why not me. I'm starting from absolute zero but I'm motivated by something real, not just money, though the salaries are great too. I want to understand how the internet works at a protocol level, TCP/IP, HTTP, DNS, because security is about understanding what normal looks like so you can spot abnormal. Linux is something I'll need to get comfortable with. I want to understand the SOC analyst role first as an entry point, working with SIEM tools to analyze logs and detect threats. CompTIA Security+ seems like the right first certification and then maybe the CySA+.","TCP/IP, HTTP, DNS, Linux, SIEM, SOC, Log Analysis, CompTIA Security+, CySA+"
"Full-Stack Developer","20","Basic HTML/CSS","I took a free HTML and CSS course online and built a tiny static website and I was so proud of it but then I realized that's like the very tip of the iceberg and I need to learn so much more. I want to become a full-stack developer because I love the idea of being able to build an entire product myself from the frontend to the backend. My plan is to get really solid at JavaScript first since it seems to run everything on the web, then learn React because every job posting wants it. For the backend I'm torn between Node.js and Python with Django, but I'm leaning Node so I only have to learn one language deeply. I also need to learn databases, probably PostgreSQL, and understand how REST APIs work because that's how everything talks to each other.","JavaScript, React, Node.js, PostgreSQL, REST APIs, HTML/CSS, Django"
"Database Administrator","13","Basic Networking","I know basic SQL well enough to write simple queries, but I want to become a proper database administrator who can manage enterprise databases reliably. PostgreSQL is my chosen platform because it's open source and very powerful. I need to understand database architecture deeply, including how storage engines work, how indexes actually speed up queries, and how the query planner makes decisions. Performance tuning is something I really want to master because slow queries are painful and fixing them is very satisfying. Backup and recovery strategies are critical to get right since data loss is catastrophic. Replication and high availability setup so databases can survive failures. Also interested in learning about NoSQL databases like MongoDB and Redis to understand when they're better choices. Database security and access management are important too.","PostgreSQL, Database Architecture, Indexing, Query Optimization, Backup and Recovery, Replication, MongoDB, Redis"
"Data Analyst","12","None","I manage a small e-commerce store and I'm drowning in spreadsheet chaos, like I have thirty different Excel files that need to be manually stitched together every month to understand how the business is doing. I want to learn data analysis properly so I can build a system that just works and gives me answers without all the manual pain. SQL seems like it would let me query my sales database directly instead of exporting everything. Python with pandas could help me automate the report building. And I've been eyeing Google Looker Studio to create a dashboard my small team can check anytime. I also want to understand cohort analysis and customer lifetime value calculations because those seem like the metrics that actually matter for e-commerce.","SQL, Python, Pandas, Google Looker Studio, Dashboard Design, Cohort Analysis, E-commerce Analytics"
"AI Engineer","21","College CS","I'm currently finishing my computer science degree and I've taken an ML elective that got me completely hooked, and now I'm pivoting my entire career plan toward AI engineering rather than traditional software development. I understand the fundamentals of algorithms and data structures well, and I have decent Python skills, but I need to specialize into the AI stack specifically. I want to understand how to work with large language models through APIs and also how to fine-tune open-source models like Llama or Mistral for specific use cases. Building RAG systems with vector databases like Chroma or Pinecone is something I want hands-on experience with. I also want to understand how to evaluate AI systems properly because getting good outputs isn't enough if you can't measure it systematically.","LLM, Fine-tuning, Llama, Mistral, RAG, Chroma, Pinecone, AI Evaluation, Python"
"AI Engineer","12","College CS","I have a strong computer science background from my degree and I understand algorithms and data structures well, so I'm not starting from zero, I'm just need to specialize into AI properly. I want to fast-track into the modern AI engineering stack rather than spending too long on classical ML. My focus is on large language models and how to build reliable applications with them, including techniques like prompt engineering, RAG architecture, and understanding how to evaluate LLM outputs systematically. I also want to understand how to use tools like LlamaIndex and LangChain effectively for building agentic systems. MLflow for experiment tracking and Hugging Face for accessing pre-trained models are also on my list. I'm targeting AI engineering roles specifically, not research positions.","LLM, Prompt Engineering, RAG, LlamaIndex, LangChain, MLflow, Hugging Face, Agentic AI"
"Network Engineer","17","Basic Networking","I've been in IT helpdesk for two years and I understand basic networking just from troubleshooting tickets, but I want to specialize properly and become a network engineer. Cisco seems to be the dominant vendor and CCNA seems like the gold standard entry certification so that's my primary target. I need to get really solid on routing protocols like OSPF and BGP because those are what make the internet actually work at scale. VLANs and switching concepts are things I encounter but don't fully understand. Network security basics including ACLs and firewalls overlap with my interests. I want to get hands-on practice with Cisco Packet Tracer and eventually real equipment. After CCNA I'm thinking CCNP as a follow-up. Understanding SD-WAN and modern network virtualization seems important for the future of the field.","Cisco, CCNA, OSPF, BGP, VLANs, ACLs, Network Security, Packet Tracer, CCNP, SD-WAN"
"Data Analyst","13","Excel","I've been using Excel for years at my marketing job and people always come to me for the spreadsheet stuff, but I feel like I've hit a ceiling and I need to level up properly. I keep hearing about SQL and how you need it to pull data from databases, and that sounds like something I absolutely have to learn because right now I'm just working with whatever someone exports for me. I also want to learn Tableau or Power BI because I've seen those beautiful interactive dashboards online and I want to make those for my company's executives. Python seems scary but everyone says pandas is great for data manipulation and it'd help me automate my repetitive Excel tasks. I want to transition into a proper analyst role within the year.","SQL, Excel, Tableau, Power BI, Python, Pandas, Data Visualization"
"Mobile App Developer","22","Excel","I have an idea for an app that I genuinely believe would be useful and maybe even make money, and I've decided instead of paying someone to build it I'm going to learn to do it myself even though I know absolutely nothing about programming right now. I've done some research and Flutter seems like a great choice for beginners who want to build both iPhone and Android apps because you only learn one thing. Dart is the language Flutter uses and people say it's actually quite clean and beginner friendly. I know I'll need to learn how to connect my app to a backend and store data, and Firebase seems to be the easiest option for that, handling authentication and the database. I'm going in with eyes open that this is a long journey but I'm committed.","Flutter, Dart, Firebase, iOS, Android, Authentication, Database, Mobile UI"
"Cloud Architect","14","Excel","I write Python scripts at my current job for automation and I've somehow never gotten into cloud even though everything I work with runs on AWS. My manager wants me to take on more cloud infrastructure responsibilities and I've decided this is actually the direction I want my career to go. I want to start with the AWS fundamentals, really understand the core services and how they connect, rather than just knowing enough to get by. Infrastructure as Code with Terraform or CloudFormation is something I need to learn because manual console clicking doesn't scale and isn't reproducible. Lambda functions and serverless architecture seem fascinating for event-driven workloads. I'm aiming for the AWS Solutions Architect Associate certification as a concrete milestone within four months.","AWS, Lambda, Serverless, Terraform, CloudFormation, IAM, VPC, AWS Solutions Architect Associate"
"Full-Stack Developer","24","Some JavaScript","I took a free HTML and CSS course online and built a tiny static website and I was so proud of it but then I realized that's like the very tip of the iceberg and I need to learn so much more. I want to become a full-stack developer because I love the idea of being able to build an entire product myself from the frontend to the backend. My plan is to get really solid at JavaScript first since it seems to run everything on the web, then learn React because every job posting wants it. For the backend I'm torn between Node.js and Python with Django, but I'm leaning Node so I only have to learn one language deeply. I also need to learn databases, probably PostgreSQL, and understand how REST APIs work because that's how everything talks to each other.","JavaScript, React, Node.js, PostgreSQL, REST APIs, HTML/CSS, Django"
"Data Analyst","17","Excel","I manage a small e-commerce store and I'm drowning in spreadsheet chaos, like I have thirty different Excel files that need to be manually stitched together every month to understand how the business is doing. I want to learn data analysis properly so I can build a system that just works and gives me answers without all the manual pain. SQL seems like it would let me query my sales database directly instead of exporting everything. Python with pandas could help me automate the report building. And I've been eyeing Google Looker Studio to create a dashboard my small team can check anytime. I also want to understand cohort analysis and customer lifetime value calculations because those seem like the metrics that actually matter for e-commerce.","SQL, Python, Pandas, Google Looker Studio, Dashboard Design, Cohort Analysis, E-commerce Analytics"
"Cloud Architect","22","Basic SQL","I've been dabbling with AWS for about a year, mostly just launching EC2 instances and messing with S3 buckets, but I want to go much deeper and actually understand cloud architecture properly so I can design real production systems. I want to learn how to design for high availability and disaster recovery because those are the things that separate junior from senior cloud work. Multi-region architectures, auto-scaling groups, and load balancing are all areas I need to get solid on. I also want to understand cloud cost optimization because companies care deeply about their AWS bills and being able to reduce costs is a valuable skill. Moving into serverless with Lambda and understanding event-driven architectures is exciting to me. I want to achieve both the AWS SAA and the GCP Professional Cloud Architect certs.","AWS, High Availability, Disaster Recovery, Auto Scaling, Serverless, AWS Lambda, GCP, Cloud Cost Optimization"
"AI Engineer","22","None","I've been writing Python for a few years now doing backend web development, but the AI revolution has me completely hooked and I want to pivot my career toward building AI-powered applications. My Python is solid so I don't need to start from scratch, but I need to deeply learn the ML and AI ecosystem. I want to understand how to use the major LLM APIs like OpenAI and Anthropic and build production applications around them, including implementing RAG pipelines with vector databases like Pinecone or Weaviate. LangChain seems to be the framework everyone uses for chaining these things together. I also want to understand fine-tuning models and have a solid grasp of prompt engineering best practices. Understanding how transformers actually work at a conceptual level would help me make better architectural decisions.","LLM APIs, OpenAI, Anthropic API, RAG, Vector Databases, LangChain, Fine-tuning, Prompt Engineering, Transformers"
"Data Analyst","11","Basic Python","I'm a recent CS grad who learned Python but didn't really focus on data stuff, so I want to fill those specific gaps quickly. I'm very comfortable with programming logic but I need to learn the data ecosystem tools specifically. SQL is my first priority since almost every job posting lists it, and then I want to get really good at pandas for data wrangling because that seems to be like ninety percent of the actual job. I also want to learn how to create compelling visualizations using seaborn and plotly, and understand basic statistical concepts like hypothesis testing and confidence intervals that I somehow avoided in college. I think I can move fast because the programming part won't slow me down.","SQL, Pandas, Data Wrangling, Seaborn, Plotly, Statistics, Hypothesis Testing"
"Backend Developer","20","Basic HTML/CSS","I've been building web scrapers and automation scripts in Python for a while now and I'm comfortable with the language, but I've never built an actual web application backend and I want to make that transition into professional backend development. FastAPI seems like the best choice for me because it's Python, it's fast, and it generates API documentation automatically which is really elegant. I need to understand database design properly, not just how to write queries but how to design schemas that don't cause problems later. PostgreSQL for relational data and learning about database normalization and indexes. Authentication and authorization are things I need to understand deeply because most APIs need them. Eventually I want to understand how to scale backend services and handle high traffic, which means learning about caching with Redis and maybe message queues.","Python, FastAPI, PostgreSQL, Database Design, Schema Design, Authentication, Redis, API Development"
